"iter","stock","param","value"
10,12,"beta",0.000165932519970771
10,1,"U_msy",0.575777813
10,2,"U_msy",0.707904853
10,3,"U_msy",0.71974535
10,4,"U_msy",0.562350333
10,5,"U_msy",0.459140663
10,6,"U_msy",0.526801526
10,7,"U_msy",0.538166154
10,8,"U_msy",0.492280508
10,9,"U_msy",0.644322956
10,10,"U_msy",0.680386378
10,11,"U_msy",0.487099638
10,12,"U_msy",0.46216971
10,1,"S_msy",2796.045614
10,2,"S_msy",8425.72699
10,3,"S_msy",8883.04127
10,4,"S_msy",1561.760452
10,5,"S_msy",861.6280197
10,6,"S_msy",2468.049976
10,7,"S_msy",2409.896371
10,8,"S_msy",338.5473136
10,9,"S_msy",1522.239918
10,10,"S_msy",8070.266614
10,11,"S_msy",10273.65826
10,12,"S_msy",2785.287116
10,NA,"S_obj",77235.8721602632
10,NA,"U_obj",0.46
10,NA,"U_MSY",0.6
10,NA,"S_MSY",51742.9656730775
